what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648127580107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127583017
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1648127585197
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1648127585242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127599287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1648127599299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127599586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127599618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127604924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127617571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127618699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127622506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127626705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648127628355
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1648127629338
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648127632203
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1648127632423
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1648127637535
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648127639772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1648127640787
